patient_id,tile_id,tile_row,tile_col,tile_purity,n_spots,FMRP_signature_score,Cell_cycle_signature_score,YAP_signature_score,WNT_signature_score,EMT_signature_score,x_min_fullres,y_min_fullres,x_max_fullres,y_max_fullres,FMRP_signature_score_binary,Cell_cycle_signature_score_binary,YAP_signature_score_binary,WNT_signature_score_binary,EMT_signature_score_binary
CH_L_279a,5-10,5,10,0.706107843567086,127,-0.02828660873871247,0.16340019275947237,0.34866899048924693,0.039415858025019575,0.4069667597505727,24580,12290,27038,14748,0.0,1.0,0.0,1.0,0.0
CH_L_279a,5-11,5,11,0.4209684533243974,184,-0.026314432077993354,0.10992193085877607,0.3289299843248327,0.03444055495986901,0.4456135047287155,27038,12290,29496,14748,1.0,0.0,0.0,0.0,1.0
CH_L_279a,6-10,6,10,0.5705929720549024,184,-0.027358649670044283,0.17670778028892767,0.3298187458354417,0.05666651586799243,0.41594719176572026,24580,14748,27038,17206,1.0,1.0,0.0,1.0,1.0
CH_L_279a,6-11,6,11,0.6922180718304548,184,-0.024852061219377542,0.1669673562430674,0.34551731902235405,0.07674659121655637,0.3314786294455612,27038,14748,29496,17206,1.0,1.0,0.0,1.0,0.0
CH_L_279a,6-12,6,12,0.4174315618465336,184,-0.05819142594283553,0.04002781427378157,0.406177779187772,-0.0882013189747965,0.4288658855432946,29496,14748,31954,17206,0.0,0.0,1.0,0.0,1.0
CH_L_279a,6-8,6,8,0.6991694997464754,118,-0.04484999187671828,0.11782874699737375,0.3954770112178254,-0.007185856620165185,0.30829402863581157,19664,14748,22122,17206,0.0,0.0,0.0,0.0,0.0
CH_L_279a,6-9,6,9,0.5807870104526398,189,-0.031879617621194435,0.1359974674771789,0.3283210185812169,0.0032819512104021644,0.4062399650510305,22122,14748,24580,17206,0.0,0.0,0.0,0.0,0.0
CH_L_279a,7-10,7,10,0.6696499768254167,184,-0.01566445429471439,0.1827244282718451,0.3519595423952568,0.07637421377108972,0.3470881430838297,24580,17206,27038,19664,1.0,1.0,0.0,1.0,0.0
CH_L_279a,7-9,7,9,0.5370368829388741,184,-0.02766215617950685,0.09833977974459959,0.3076345272657601,0.02312338089651142,0.40767801244423935,22122,17206,24580,19664,0.0,0.0,0.0,0.0,0.0
CH_L_279a,8-10,8,10,0.3345190076852217,171,-0.08246946562855623,0.04298577631336066,0.4423803282768026,-0.10109919760781753,0.2821294156185781,24580,19664,27038,22122,0.0,0.0,1.0,0.0,0.0
CH_L_279a,8-8,8,8,0.32493202079671646,59,-0.04397033045007852,0.06648544653524556,0.33406096534280083,-0.02908657800149099,0.44768925093185824,19664,19664,22122,22122,0.0,0.0,0.0,0.0,1.0
CH_L_279a,8-9,8,9,0.5989981646268745,121,-0.060917538631981134,0.05585336713758136,0.39699699571588376,-0.01363483601736349,0.26328111123233805,22122,19664,24580,22122,0.0,0.0,0.0,0.0,0.0
CH_L_279a,9-12,9,12,0.3367841251477946,187,-0.04535650015686966,0.09574951239195523,0.39297690001997143,-0.04852246090234269,0.39334364045934417,29496,22122,31954,24580,0.0,0.0,0.0,0.0,0.0
CH_L_279a,9-13,9,13,0.43819943762052244,147,-0.09481050838786872,0.03293574063010492,0.4902709257377215,-0.12291242704201269,0.23008574212191477,31954,22122,34412,24580,0.0,0.0,1.0,0.0,0.0
CH_L_280a,10-4,10,4,0.6061982532986522,136,-0.00080655888792208,0.20541267822682063,0.3149066837418561,0.01776771196386805,0.42459297825536024,9812,24530,12265,26983,1.0,0.0,0.0,0.0,1.0
CH_L_280a,10-5,10,5,0.6786259605627832,184,-0.009710366744862323,0.21250313834329412,0.33109334765978415,0.016301304236430326,0.38311678807791455,12265,24530,14718,26983,0.0,0.0,0.0,0.0,0.0
CH_L_280a,10-6,10,6,0.702527730897581,188,-0.007782573608614939,0.24649056733187283,0.3116498104413381,0.0402760066974519,0.41930170480780316,14718,24530,17171,26983,0.0,0.0,0.0,1.0,1.0
CH_L_280a,10-7,10,7,0.5873242448966917,190,-0.017054034324107337,0.2298783650454169,0.3124500120794822,0.01621510713298164,0.42271341785607786,17171,24530,19624,26983,0.0,0.0,0.0,0.0,1.0
CH_L_280a,10-8,10,8,0.7865386401129514,181,-0.006923347237709304,0.22393096077223185,0.31402723124859955,0.01080472220741179,0.3404092438390508,19624,24530,22077,26983,0.0,0.0,0.0,0.0,0.0
CH_L_280a,10-9,10,9,0.8901438842775659,57,0.0163910575773314,0.28089268299001874,0.29972293898802027,0.039799977735546055,0.30442074429381794,22077,24530,24530,26983,1.0,1.0,0.0,0.0,0.0
